Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
1,"Luca Colombo, Mount Olive (Conference Carolinas)",Fr.,5-11,L,69,217,3.14
2,"Benjamin Latham, Central St. (OH) (SIAC)",Jr.,5-9,L,76,235,3.09
3,"Tyler Vasquez, Thomas More (DI Independent)",Fr.,5-8,L/DS,63,175,2.78
4,"Zac Clark, Maryville (MO) (DI Independent)",Jr.,6-0,L,73,195,2.67
5,"Nico Paula, Lewis (MIVA)",Jr.,6-1,L,104,271,2.61
6,"Ivaylo Todorov, St. Thomas Aquinas (ECC)",Fr.,5-10,L,75,190,2.53
6,"Myles Tucker, Morehouse (SIAC)",Jr.,0-0,OH,30,76,2.53
8,"Moises Jimenez, Roberts Wesleyan (ECC)",Jr.,6-0,OH,87,219,2.52
9,"Jose Ruiz, Barton (Conference Carolinas)",So.,5-8,L,68,167,2.46
10,"Kyle Standage, Merrimack (DI Independent)",Jr.,5-10,L,59,144,2.44
11,"Nathan Flayter, McKendree (MIVA)",So.,6-4,S,97,232,2.39
12,"Cameron Long, Benedict (SIAC)",Jr.,5-7,L/DS,67,159,2.37
13,"Johnny Dykstra, Southern California (MPSF)",Fr.,6-1,L/DS,67,154,2.30
14,"Yadiel Diaz, McKendree (MIVA)",Jr.,5-6,L/DS,97,222,2.29
15,"Jeremiah Martinez, Edward Waters (SIAC)",Fr.,5-10,L,77,174,2.26
16,"Bartosz Chmielewski, Missouri S&T (DI Independent)",So.,6-1,L,74,164,2.22
17,"Josh Staehler, Emmanuel (GA) (Conference Carolinas)",Fr.,5-6,L/DS,89,196,2.20
18,"Javier Saldivar, King (TN) (Conference Carolinas)",Fr.,0-0,L,81,178,2.20
19,"Makai Scott, Maryville (MO) (DI Independent)",So.,6-0,OH,76,167,2.20
20,"Keegan Cook, UC San Diego (Big West)",So.,6-0,L,61,134,2.20
21,"Grady Hoffman, FDU (NEC)",Sr.,6-1,L,62,134,2.16
22,"Richard Hendricks, Edward Waters (SIAC)",Jr.,5-10,OH,77,165,2.14
23,"Max Adkisson, Catawba (DI Independent)",Fr.,5-9,L,74,158,2.14
24,"D'Angelo Coleman, Kentucky St. (SIAC)",So.,5-7,L,21,44,2.10
25,"Lawson Hink, Barton (Conference Carolinas)",Fr.,6-6,OH,80,167,2.09
26,"Victor Scherer, Quincy (MIVA)",Jr.,5-11,L,96,200,2.08
27,"John Luers, Lincoln Memorial (DI Independent)",Sr.,6-1,S,70,144,2.06
28,"Fabian Lugo, American Int'l (ECC)",Jr.,5-10,L/DS,71,146,2.06
29,"Bobby Clapp, Barry (DI Independent)",Fr.,5-10,L,84,172,2.05
30,"Jamal Gray, Kentucky St. (SIAC)",So.,5-6,L,24,49,2.04
31,"Thomas Phung, Harvard (EIVA)",Fr.,5-10,L,51,101,1.98
32,"Oliwer Wrobel, Emmanuel (GA) (Conference Carolinas)",Fr.,6-3,S,83,163,1.96
33,"Nate Meyer, Missouri S&T (DI Independent)",Jr.,6-3,OH,74,145,1.96
34,"Mikey Widmyer, Erskine (Conference Carolinas)",Jr.,5-10,L,70,137,1.96
35,"Sam Hoskin, McKendree (MIVA)",Jr.,6-4,OH,91,176,1.93
36,"Aidon Love, Erskine (Conference Carolinas)",Sr.,6-2,OH,66,127,1.92
37,"Gino Briglio, Erskine (Conference Carolinas)",Jr.,6-2,S,66,126,1.91
38,"Harryzen Soares, Sacred Heart (EIVA)",Fr.,6-0,L,67,127,1.90
