Rank,Team,S,W-L,Kills,Per Set
1,Southern California (MPSF),79,19-3,"1,069",13.53
2,Hawaii (Big West),90,22-3,"1,216",13.51
3,Long Beach St. (Big West),78,23-1,"1,032",13.23
4,Loyola Chicago (MIVA),85,21-2,"1,115",13.12
5,Mount Olive (Conference Carolinas),69,18-3,897,13.00
6,Pepperdine (MPSF),78,15-7,"1,001",12.83
7,Charleston (WV) (EIVA),91,11-14,"1,159",12.74
8,McKendree (MIVA),97,17-7,"1,227",12.65
9,Lindenwood (MIVA),83,8-14,"1,046",12.60
10,LIU (NEC),85,17-5,"1,064",12.52
11,UC Irvine (Big West),74,16-6,924,12.49
12,Ball St. (MIVA),110,17-11,"1,373",12.48
13,Rockhurst (DI Independent),100,18-10,"1,247",12.47
14,Ohio St. (MIVA),92,14-10,"1,145",12.45
15,UC Santa Barbara (Big West),84,11-12,"1,045",12.44
16,UCLA (MPSF),76,17-4,944,12.42
17,North Greenville (Conference Carolinas),79,10-11,980,12.41
18,Lewis (MIVA),111,20-8,"1,375",12.39
19,UC San Diego (Big West),88,17-7,"1,082",12.30
20,Saint Francis (NEC),79,10-12,970,12.28
21,Catawba (DI Independent),77,12-10,942,12.23
22,Belmont Abbey (Conference Carolinas),75,14-8,916,12.21
23,Lincoln Memorial (DI Independent),70,19-1,852,12.17
24,Maryville (MO) (DI Independent),84,16-8,"1,022",12.17
25,Merrimack (DI Independent),67,13-6,805,12.01
26,BYU (MPSF),92,17-7,"1,104",12.00
27,CSUN (Big West),88,16-8,"1,052",11.95
28,Stanford (MPSF),76,9-12,902,11.87
29,Purdue Fort Wayne (MIVA),88,11-12,"1,035",11.76
30,Erskine (Conference Carolinas),78,8-15,915,11.73
31,Grand Canyon (MPSF),88,15-9,"1,030",11.70
32,NJIT (EIVA),80,10-12,934,11.68
33,Daemen (NEC),75,11-10,862,11.49
34,Princeton (EIVA),73,11-9,838,11.48
35,Quincy (MIVA),99,8-17,"1,133",11.44
36,Missouri S&T (DI Independent),78,10-13,891,11.42
37,Menlo (MPSF),74,9-12,843,11.39
38,George Mason (EIVA),82,13-10,929,11.33
39,Queens (NC) (MIVA),101,10-17,"1,140",11.29
40,CUI (MPSF),93,9-16,"1,045",11.24
41,Tusculum (DI Independent),91,14-11,"1,020",11.21
42,St. Thomas Aquinas (ECC),75,13-9,837,11.16
43,Penn St. (EIVA),75,8-14,833,11.11
44,Fort Valley St. (SIAC),71,13-9,786,11.07
45,Vanguard  (MPSF),85,8-15,933,10.98
46,Edward Waters (SIAC),77,9-12,842,10.94
47,Roosevelt  (DI Independent),75,5-16,818,10.91
48,FDU (NEC),72,8-11,780,10.83
49,Barton (Conference Carolinas),89,15-11,962,10.81
50,Roberts Wesleyan (ECC),97,9-17,"1,048",10.80
