Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
1,"Victor Scherer, Central St. (OH) (SIAC)",So.,0-0,,106,377,3.56
2,"Clint Forbes, Benedict (SIAC)",So.,5-7,L/DS,69,225,3.26
3,"Trevor Treser, Mount Olive (Conference Carolinas)",Sr.,6-0,L,93,298,3.20
4,"Kyle Standage, Merrimack (NEC)",Fr.,0-0,L,99,257,2.60
5,"Mason Briggs, Long Beach St. (Big West)",Jr.,6-0,L,89,214,2.40
6,"Guillermo Jordan, Queens (NC) (DI Independent)",Sr.,5-10,L/DS,90,199,2.21
7,"Nicklas Eichenberger, Emmanuel (GA) (Conference Carolinas)",Jr.,5-11,L,100,221,2.21
8,"Kyle Deutschmann, Lindenwood (MIVA)",Sr.,6-2,L,84,181,2.15
9,"Cole Younger, Sacred Heart (NEC)",Jr.,6-1,L/DS,90,192,2.13
10,"Brett Sheward, Hawaii (Big West)",Jr.,6-2,L,98,209,2.13
11,"Javier Saldivar, Kentucky St. (SIAC)",So.,5-7,L,92,194,2.11
12,"Justin Lui, Stanford (MPSF)",Sr.,5-10,L,101,212,2.10
13,"Daniel Cerqua, Belmont Abbey (Conference Carolinas)",Sr.,5-9,L/DS,115,241,2.10
14,"Oneil Daley, Edward Waters (SIAC)",So.,5-9,S,57,119,2.09
15,"Trey Cole, Pepperdine (MPSF)",Jr.,6-4,L,96,199,2.07
16,"Evan Boyle, UC San Diego (Big West)",Fr.,6-0,L,89,183,2.06
17,"Nicola Iannelli, St. Francis Brooklyn (NEC)",Sr.,6-1,L,78,159,2.04
18,"Rui Fernandes, FDU (NEC)",Sr.,6-4,S,76,154,2.03
19,"Daniel Leitao, Queens (NC) (DI Independent)",Sr.,6-4,S,95,191,2.01
20,"Cole Power, UC Irvine (Big West)",Sr.,5-11,L,108,217,2.01
21,"Kade Andruski, Kentucky St. (SIAC)",So.,6-0,S,73,145,1.99
22,"Diego Rosich, North Greenville (Conference Carolinas)",Jr.,6-5,OH,102,200,1.96
23,"Albert Warzocha, Limestone (DI Independent)",So.,6-3,OH,74,143,1.93
24,"Justin Sawyer, King (TN) (Conference Carolinas)",So.,6-1,OH,122,235,1.93
25,"James Chretien, Limestone (DI Independent)",Jr.,6-3,OH,84,161,1.92
26,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,156,1.88
