Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
1,"Blake Reardon, Ball St. (MIVA)",Sr.,6-4,OH,9,49,18,97,10.78
2,"Andrew Kohut, Belmont Abbey (Conference Carolinas)",Jr.,6-6,OPP,4,20,6,37,9.25
3,"Shaun Kampshoff, Tusculum (DI Independent)",Jr.,6-4,RS,7,25,14,64,9.14
3,"Cole Schlothauer, Loyola Chicago (MIVA)",So.,6-5,,7,33,6,64,9.14
5,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,4,12,6,36,9.00
5,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,,3,10,6,27,9.00
5,"Omari Wheeler, Quincy (MIVA)",Sr.,6-5,OPP,9,34,10,81,9.00
8,"Kaleb Jenness, Ball St. (MIVA)",Jr.,6-6,OH,9,29,16,79,8.78
9,"Luke Denton, Loyola Chicago (MIVA)",Jr.,6-6,,7,27,7,59,8.43
10,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,OH,10,37,6,82,8.20
11,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Fr.,6-6,,13,47,21,103,7.92
12,"Geraldo Rivera, Limestone (DI Independent)",Sr.,6-0,OH,7,20,14,54,7.71
13,"Jack Bolz, George Mason (EIVA)",Fr.,6-7,,9,29,18,68,7.56
14,"Joshua Kim, King (TN) (Conference Carolinas)",Sr.,6-6,RS,5,19,5,37,7.40
15,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,13,5,28,7.00
15,"Francisco Salinger, Limestone (DI Independent)",Sr.,6-5,OH,8,24,11,56,7.00
15,"Zach Schnittker, McKendree (MIVA)",Sr.,6-4,,3,8,6,21,7.00
15,"Jacob Titus, Lincoln Memorial (DI Independent)",So.,6-4,,10,25,15,70,7.00
19,"Jacob Whyte, Erskine (Conference Carolinas)",Fr.,6-4,OPP,10,26,13,64,6.40
20,"Michael Ladner, Quincy (MIVA)",So.,6-3,OH,9,24,9,56,6.22
21,"Jackson Carroll, King (TN) (Conference Carolinas)",So.,6-2,OH,5,7,7,31,6.20
22,"Nic Cavallaro, Queens (NC) (DI Independent)",Sr.,6-3,OH,14,38,13,85,6.07
23,"Diego Marcano, King (TN) (Conference Carolinas)",So.,6-2,RS,5,7,6,30,6.00
23,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Fr.,6-3,OH,11,35,9,66,6.00
23,"Jason Sall, Erskine (Conference Carolinas)",Fr.,6-3,OH,10,19,13,60,6.00
26,"Alexander Finch, Saint Francis (EIVA)",So.,6-3,,16,40,20,92,5.75
27,"Colby Landry, Tusculum (DI Independent)",Fr.,6-1,OH,7,12,13,40,5.71
28,"Gannon Chinen, Alderson Broaddus (DI Independent)",Fr.,6-3,RS,3,6,7,17,5.67
28,"Jacob Pasteur, Ohio St. (MIVA)",Fr.,6-4,OH,6,18,10,34,5.67
30,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,MB,4,8,0,21,5.25
31,"Colton Brooks, Loyola Chicago (MIVA)",So.,6-4,,6,12,7,31,5.17
32,"Tim Baldwin, Ohio St. (MIVA)",So.,6-6,OPP,5,7,5,25,5.00
32,"Nic Brewster, Lees-McRae (Conference Carolinas)",Fr.,6-4,OH,3,6,3,15,5.00
34,"Jack Brinkman, Queens (NC) (DI Independent)",So.,6-2,OH,14,19,14,69,4.93
35,"Johansen Negron, Lincoln Memorial (DI Independent)",So.,6-2,,11,25,15,53,4.82
36,"Luis Kannee, North Greenville (Conference Carolinas)",Sr.,6-3,OPP,4,7,5,19,4.75
36,"Spencer Saint-Eloi, Limestone (DI Independent)",Sr.,6-1,OPP,8,16,10,38,4.75
38,"Richie Hoff, George Mason (EIVA)",Jr.,6-4,,9,13,7,42,4.67
38,"Loic Nanchen, Alderson Broaddus (DI Independent)",Fr.,6-3,OH,3,4,4,14,4.67
40,"Joshua Blair, Saint Francis (EIVA)",Jr.,6-5,,16,37,9,69,4.31
41,"Bryce Behrendt, Ball St. (MIVA)",So.,6-4,OH,7,10,3,29,4.14
42,"Tyler Mitchem, Lewis (MIVA)",Sr.,6-10,MB,10,29,4,41,4.10
43,"Josh Bragg, Queens (NC) (DI Independent)",Sr.,6-4,OH,18,16,12,73,4.06
44,"Dane Loup, Tusculum (DI Independent)",Fr.,6-2,OH,7,8,6,27,3.86
45,"Austin Gerwig, Ohio St. (MIVA)",Sr.,6-6,MB,6,8,5,23,3.83
46,"Cole Brillhart, Lewis (MIVA)",So.,6-2,OH,10,12,9,38,3.80
47,"Emanuel Adames, North Greenville (Conference Carolinas)",Fr.,6-6,MB,4,8,2,15,3.75
47,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,4,6,3,15,3.75
49,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,,3,3,2,11,3.67
50,"Zac Cabral, Saint Francis (EIVA)",So.,6-10,,14,29,4,50,3.57
51,"Cal Fisher, Penn St. (EIVA)",Jr.,6-3,OPP,6,10,3,21,3.50
51,"Brett Wildman, Penn St. (EIVA)",Jr.,6-5,OH,6,8,2,21,3.50
53,"Jack Reese, George Mason (EIVA)",Sr.,6-8,,9,18,6,31,3.44
54,"Tommy McGrath, McKendree (MIVA)",Jr.,6-7,,3,5,2,10,3.33
55,"Brad Creamer, George Mason (EIVA)",Sr.,6-9,,9,18,1,29,3.22
55,"Will Hippe, Ball St. (MIVA)",Sr.,6-8,MH,9,12,3,29,3.22
57,"Pedro Carvalho, Lincoln Memorial (DI Independent)",Sr.,6-7,,13,24,6,41,3.15
58,"JP Payne, Queens (NC) (DI Independent)",Sr.,6-4,MH,20,26,8,61,3.05
59,"Max Kuntz, Lees-McRae (Conference Carolinas)",Jr.,6-3,OH,3,4,0,9,3.00
59,"Michael Marsans, Lees-McRae (Conference Carolinas)",So.,6-4,OH,3,4,3,9,3.00
59,"Andrew Nielsen, Alderson Broaddus (DI Independent)",Fr.,6-7,MB,3,5,1,9,3.00
59,"Zach Reider, Quincy (MIVA)",Sr.,6-7,MB,7,11,2,21,3.00
59,"Cole Vigo, Erskine (Conference Carolinas)",So.,6-6,MB,11,13,4,33,3.00
64,"Omar Hoyos, George Mason (EIVA)",Fr.,6-6,,7,11,3,20,2.86
65,"Jimmy Meinhart, Loyola Chicago (MIVA)",Fr.,6-8,MB,7,5,0,19,2.71
66,"Ace Backer, Lees-McRae (Conference Carolinas)",So.,6-6,MH,3,4,0,8,2.67
