Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
1,"Michael Marsans, Lees-McRae (Conference Carolinas)",Jr.,6-5,OH,3,18,7,40,13.33
2,"Carlos Guerrero, Emmanuel (GA) (Conference Carolinas)",So.,6-4,MB,5,13,13,51,10.20
3,"Tobi Azeez, Mount Olive (Conference Carolinas)",Jr.,6-4,OH,5,19,5,50,10.00
3,"Kyle McCauley, UC San Diego (Big West)",Sr.,6-4,OH,7,31,15,70,10.00
5,"Camden Gianni, Grand Canyon (MPSF)",So.,6-5,OH,14,53,15,131,9.36
6,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Jr.,6-6,OPP,6,27,7,53,8.83
7,"AJ Lewis, Lindenwood (MIVA)",Jr.,6-5,OH,8,22,11,69,8.63
8,"Caden Satterfield, LIU (DI Independent)",Jr.,6-3,OH,8,26,8,68,8.50
9,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Jr.,6-2,OH,7,32,8,59,8.43
10,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,OH,8,23,14,66,8.25
11,"Simon Gallas, Southern California (MPSF)",So.,6-8,OPP,14,51,19,115,8.21
12,"Jayden Young, Emmanuel (GA) (Conference Carolinas)",Jr.,6-2,OH,5,19,5,41,8.20
13,"Hugo Fischer, Grand Canyon (MPSF)",Sr.,6-8,OPP,14,45,20,113,8.07
14,"Campbell Schoenfeld, Harvard (EIVA)",Sr.,6-8,OH,10,27,14,80,8.00
14,"Eli Zdonek, Emmanuel (GA) (Conference Carolinas)",So.,6-0,S,5,15,7,40,8.00
16,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,OH,8,23,11,63,7.88
17,"Sam Kobrine, Southern California (MPSF)",Sr.,6-3,OH,13,40,20,102,7.85
18,"Ben Harrington, Princeton (EIVA)",So.,6-4,,5,16,6,39,7.80
19,"Julian Meissner, NJIT (EIVA)",Jr.,6-7,,8,25,13,62,7.75
19,"Ryan Wilcox, UC Santa Barbara (Big West)",Jr.,6-2,OH,12,37,18,93,7.75
21,"Haotian Xia, UC Santa Barbara (Big West)",Jr.,6-5,OPP,11,40,14,84,7.64
22,"Alessandro Negri, NJIT (EIVA)",Fr.,6-4,OH,8,24,10,61,7.63
23,"Jason Sall, Erskine (Conference Carolinas)",So.,6-3,OH,11,19,25,76,6.91
24,"Jordan Cooper, LIU (DI Independent)",Jr.,6-3,OH,8,16,18,55,6.88
25,"Davide Gardini, BYU (MPSF)",Sr.,6-9,OH,6,17,13,41,6.83
26,"Edgerrin Austin, Erskine (Conference Carolinas)",So.,5-11,OH,10,22,22,68,6.80
27,"Ryan Ka, UC San Diego (Big West)",Jr.,6-3,OH,7,20,9,47,6.71
28,"M.J. Doyle, Lees-McRae (Conference Carolinas)",Jr.,6-2,OH,3,2,6,20,6.67
29,"Omar Hoyos, George Mason (EIVA)",So.,6-6,OH,8,24,6,53,6.63
30,"Dominic Hagerty, Mount Olive (Conference Carolinas)",So.,6-3,S,5,13,5,33,6.60
31,"Jack Bolz, George Mason (EIVA)",So.,6-7,OPP,8,25,11,52,6.50
31,"Blake Liprando, Saint Francis (EIVA)",Jr.,6-3,OH,10,24,7,65,6.50
33,"Clarke Godbold, Long Beach St. (Big West)",So.,6-5,OH,3,14,3,19,6.33
34,"Jacob Pasteur, Ohio St. (MIVA)",So.,6-4,OH,9,31,11,56,6.22
35,"Samuel Clark, Ohio St. (MIVA)",Jr.,6-6,MB,8,20,12,49,6.13
35,"Mark Stapley, LIU (DI Independent)",Sr.,6-4,OH,8,15,11,49,6.13
37,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,5,4,24,6.00
37,"Luke Benson, BYU (MPSF)",Fr.,6-7,OH,5,11,6,30,6.00
37,"Dane Loup, Tusculum (DI Independent)",So.,6-0,OH,7,11,9,42,6.00
