Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
37,"Nyherowo Omene, Princeton (EIVA)",Fr.,6-7,,6,17,6,36,6.00
41,"Jacob Whyte, Tusculum (DI Independent)",Jr.,6-4,RS,7,16,9,41,5.86
42,"Nathan Zini, Saint Francis (EIVA)",Fr.,6-7,OPP,10,19,14,57,5.70
43,"Diego Negron, Lindenwood (MIVA)",Sr.,6-5,OH,9,24,10,50,5.56
44,"Brendon Dunn, McKendree (MIVA)",Sr.,6-4,OH,6,8,4,33,5.50
44,"Phil Swartz, Lindenwood (MIVA)",Sr.,6-7,OH,8,12,16,44,5.50
46,"Eric Li, Harvard (EIVA)",Sr.,6-6,OH,10,20,14,54,5.40
47,"Spencer Olivier, Long Beach St. (Big West)",Jr.,6-6,OH,3,8,4,16,5.33
47,"Gregory Torres, North Greenville (Conference Carolinas)",Fr.,6-4,OH,3,8,3,16,5.33
49,"Kade Bontrager, Purdue Fort Wayne (MIVA)",Sr.,6-0,OH,6,19,6,31,5.17
50,"Jens Feldthus, NJIT (EIVA)",Sr.,6-3,,8,14,12,41,5.13
51,"James Hartley, Princeton (EIVA)",So.,6-6,,5,8,8,25,5.00
52,"Brian Knoerr, Belmont Abbey (Conference Carolinas)",Fr.,6-5,OPP,7,16,8,34,4.86
52,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,7,16,10,34,4.86
54,"Bryce Behrendt, Ball St. (MIVA)",Jr.,6-4,OH,6,19,3,29,4.83
55,"Alex Ah Sue, BYU (MPSF)",Sr.,6-4,OPP,5,13,5,24,4.80
55,"Nick Martinski, Ball St. (MIVA)",Sr.,6-7,OH,5,12,2,24,4.80
57,"Colin Heath, George Mason (EIVA)",So.,6-6,OH,8,13,15,38,4.75
57,"Diego Rosich, North Greenville (Conference Carolinas)",So.,6-5,OH,4,11,2,19,4.75
59,"Logan Clark, UC San Diego (Big West)",Sr.,6-7,MB,7,16,3,33,4.71
60,"Bryce Walker, Purdue Fort Wayne (MIVA)",So.,6-8,MB,6,23,4,28,4.67
61,"Martin Lallemand, Ohio St. (MIVA)",Sr.,6-4,OH,9,19,7,40,4.44
62,"Colby Landry, Tusculum (DI Independent)",So.,6-0,OH,7,9,8,31,4.43
62,"Charlie Siragusa, UC San Diego (Big West)",Sr.,6-9,OH,7,11,3,31,4.43
64,"Alex Nikolov, Long Beach St. (Big West)",Fr.,6-7,OH,3,8,3,13,4.33
65,"Brandon Browning, Southern California (MPSF)",Sr.,6-4,OH,14,26,12,60,4.29
66,"Kade McGovern, Harvard (EIVA)",Fr.,6-6,OPP,10,21,10,42,4.20
67,"Jacob Gall, McKendree (MIVA)",Jr.,6-6,MB,8,16,4,33,4.13
68,"Kupono Browne, BYU (MPSF)",So.,6-5,OH,5,7,2,20,4.00
68,"Max Kuntz, Lees-McRae (Conference Carolinas)",Sr.,6-4,OH,3,2,2,12,4.00
70,"Eric Visgitis, Mount Olive (Conference Carolinas)",Sr.,6-5,MB,5,10,0,18,3.60
71,"Shane Benetz, UC San Diego (Big West)",Sr.,6-6,MB,7,7,4,25,3.57
72,"Deklan Wingo, Tusculum (DI Independent)",Fr.,6-4,OH,7,8,7,24,3.43
73,"Ethan Smith, Harvard (EIVA)",So.,6-7,MB,10,17,2,33,3.30
74,"Kyle Ferguson, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,7,12,3,23,3.29
75,"Lucas Little, George Mason (EIVA)",Fr.,6-6,MB,8,13,5,26,3.25
76,"Justin Gregory, Mount Olive (Conference Carolinas)",So.,6-6,RS,5,4,4,16,3.20
77,"Martin De Chavarria, NJIT (EIVA)",Jr.,6-7,,8,12,5,25,3.13
78,"Joshua Blair, Saint Francis (EIVA)",Sr.,6-5,,9,14,3,28,3.11
79,"Emanuel Adames, North Greenville (Conference Carolinas)",So.,6-6,MB,4,5,3,12,3.00
79,"Sam Collins, UC Santa Barbara (Big West)",So.,6-2,OH,10,14,3,30,3.00
79,"Sebastian Heer, Lees-McRae (Conference Carolinas)",Fr.,6-3,MB,3,3,2,9,3.00
79,"Karter Rogers, Grand Canyon (MPSF)",So.,6-5,OH,14,16,6,42,3.00
83,"Shaphar Grant, Tusculum (DI Independent)",Jr.,6-4,OH,7,7,5,20,2.86
83,"Liam Schroeder, Southern California (MPSF)",Sr.,6-8,MB,14,26,3,40,2.86
85,"Tommy McGrath, McKendree (MIVA)",Sr.,6-7,MB,8,8,3,22,2.75
86,"Justin Howard, Ohio St. (MIVA)",So.,6-6,MB,9,14,5,24,2.67
86,"Michael de la Cruz, North Greenville (Conference Carolinas)",Fr.,6-3,MB,3,5,2,8,2.67
88,"Lucas Frassrand, Southern California (MPSF)",Jr.,6-6,MB,14,21,2,37,2.64
89,"Thomas Leahey, Saint Francis (EIVA)",So.,6-9,,11,14,4,29,2.64
90,"Carson Williams, NJIT (EIVA)",Jr.,6-6,,8,9,2,21,2.63
91,"Vanis Buckholz, Ball St. (MIVA)",Fr.,6-6,MB,5,10,1,13,2.60
92,"Jon Fuller, Erskine (Conference Carolinas)",So.,6-3,MB,14,13,4,35,2.50
92,"Brandon Hicks, UC Santa Barbara (Big West)",Jr.,6-4,MB,12,21,3,30,2.50
94,"Daniel Beacham, Emmanuel (GA) (Conference Carolinas)",Fr.,6-4,OH,5,4,4,12,2.40
94,"Oliver Merritt, Mount Olive (Conference Carolinas)",Fr.,6-7,S,5,3,2,12,2.40
96,"Ryan Serrano, McKendree (MIVA)",Sr.,6-4,S,8,8,3,19,2.38
97,"Grant Marocchi, Long Beach St. (Big West)",Jr.,6-7,MB,3,3,1,7,2.33
97,"Branden Oberender, BYU (MPSF)",Sr.,6-7,MB,6,8,2,14,2.33
99,"Troy Culp, Grand Canyon (MPSF)",Jr.,6-4,MB,10,14,1,23,2.30
100,"Alex Pappas, Lindenwood (MIVA)",Sr.,6-7,MB,9,11,3,19,2.11
