Rank,Team,W,L,Pct.
1,Lewis (MIVA),3,0,1.000
1,Quincy (MIVA),3,0,1.000
1,King (TN) (Conference Carolinas),2,0,1.000
1,Loyola Chicago (MIVA),2,0,1.000
1,Belmont Abbey (Conference Carolinas),1,0,1.000
1,McKendree (MIVA),1,0,1.000
1,North Greenville (Conference Carolinas),1,0,1.000
8,Erskine (Conference Carolinas),2,1,0.667
9,Alderson Broaddus (DI Independent),1,1,0.500
9,Ball St. (MIVA),1,1,0.500
9,George Mason (EIVA),1,1,0.500
9,Limestone (DI Independent),1,1,0.500
9,Ohio St. (MIVA),1,1,0.500
9,Penn St. (EIVA),1,1,0.500
15,Lincoln Memorial (DI Independent),1,3,0.250
16,Queens (NC) (DI Independent),1,4,0.200
16,Saint Francis (EIVA),1,4,0.200
18,Lees-McRae (Conference Carolinas),0,1,0.000
18,Tusculum (DI Independent),0,2,0.000
