Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
83,"Jack Burton, Grand Canyon (MPSF)",Jr.,6-4,,10,14,1.40
83,"Vlad Pesic, UC San Diego (Big West)",So.,6-8,,5,7,1.40
85,"Ryan Hong, Harvard (EIVA)",Fr.,6-2,,13,18,1.38
86,"Enrique de Diego Garcia, NJIT (Independent)",Sr.,6-5,,8,11,1.38
87,"Nic Cavallaro, Queens (NC) (DI Independent)",So.,6-3,,3,4,1.33
87,"Brandon Greenway, Charleston (WV) (EIVA)",Sr.,6-4,,3,4,1.33
87,"Ben Hamsho, North Greenville (Conference Carolinas)",Jr.,6-7,,6,8,1.33
90,"Owen Chun, CUI (MPSF)",So.,0-0,,7,9,1.29
90,"Austin Matautia, UCLA (MPSF)",Jr.,6-4,,7,9,1.29
92,"Trevor Dow, Harvard (EIVA)",Sr.,6-10,,13,16,1.23
93,"Alex Shmelev, Grand Canyon (MPSF)",Sr.,6-6,,11,13,1.18
94,"Felix Egharevba, Ball St. (MIVA)",Fr.,6-5,,7,8,1.14
94,"Kevin Vaz, Pepperdine (MPSF)",Sr.,6-6,,7,8,1.14
96,"Jens Feldhus, NJIT (Independent)",Fr.,6-3,,8,9,1.13
97,"Justice Lord, Barton (Conference Carolinas)",Sr.,6-7,,4,4,1.00
97,"Berkeley Miesfeld, UC San Diego (Big West)",Fr.,6-4,,5,5,1.00
97,"Josh Tuaniga, Long Beach St. (Big West)",Sr.,6-3,,9,9,1.00
100,"Scott Stadick, UC Irvine (Big West)",Jr.,7-0,,9,8,0.89
