Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
1,"Cameron Thorne, Grand Canyon (MPSF)",So.,6-4,MB,110,17,132,149,1.355
2,"Simon Torwie, Long Beach St. (Big West)",Sr.,6-10,MB,94,15,111,126,1.340
3,"Jibriel Elhaddad, Belmont Abbey (Conference Carolinas)",So.,6-7,MB,87,16,96,112,1.287
4,"Martin De Chavarria, Pepperdine (MPSF)",Sr.,6-7,MB,95,16,94,110,1.158
5,"Thomas Fanic, Barton (Conference Carolinas)",Sr.,6-5,MB,76,17,70,87,1.145
6,"Nicodemus Meyer, Loyola Chicago (MIVA)",Jr.,6-10,MB,96,12,97,109,1.135
7,"Holden  Maryott, Mount Olive (Conference Carolinas)",Jr.,6-7,MB,88,22,72,94,1.068
8,"Jim Garrison, UC San Diego (Big West)",So.,6-9,MB,85,12,78,90,1.059
9,"Kyle Paulson, Southern California (MPSF)",Sr.,6-8,MB,106,13,99,112,1.057
10,"Kurt Nusterer, Hawaii (Big West)",So.,6-9,MB,103,6,102,108,1.049
11,"Merrick McHenry, UCLA (MPSF)",Sr.,6-7,OH,115,7,107,114,0.991
12,"Constantinos Iacovou, Mount Olive (Conference Carolinas)",So.,6-6,MB,69,21,47,68,0.986
13,"Greg Bodus, Emmanuel (GA) (Conference Carolinas)",Fr.,6-6,MB,87,14,71,85,0.977
14,"Cole Young, Ohio St. (MIVA)",Jr.,6-10,MB,121,4,114,118,0.975
15,"Connor Campbell, UC Irvine (Big West)",Sr.,6-7,MB,117,10,104,114,0.974
16,"Matthew Gentry, Lincoln Memorial (DI Independent)",Sr.,6-7,MH,87,14,70,84,0.966
17,"Wesley Smith, Southern California (MPSF)",Fr.,7-0,MB,77,13,60,73,0.948
18,"Guilherme Voss, Hawaii (Big West)",Sr.,6-7,MB,99,11,82,93,0.939
19,"Caleb Rohlwing, Missouri S&T (DI Independent)",So.,6-7,MB,63,17,42,59,0.937
20,"Ethan Smith, Harvard (EIVA)",Sr.,6-7,MB,75,6,63,69,0.920
21,"Arthur Sueur, LIU (NEC)",Sr.,6-7,MB,92,10,74,84,0.913
22,"Ondrej Arabasz, Daemen (NEC)",Fr.,6-7,MB,87,13,66,79,0.908
23,"Maverick O'Neil, Daemen (NEC)",Jr.,6-3,MH,69,10,52,62,0.899
24,"Sam Peters, George Mason (EIVA)",Sr.,6-9,MB,84,11,64,75,0.893
25,"Rolen Lively, McKendree (MIVA)",So.,6-8,MB,93,15,68,83,0.892
26,"Nicholas Lynch, Saint Francis (NEC)",Jr.,6-7,S,92,9,72,81,0.880
27,"Maxim Grigoriev, UC Irvine (Big West)",So.,6-4,MB,117,12,91,103,0.880
28,"James Feuchtgruber, St. Thomas Aquinas (ECC)",Fr.,6-4,MB,57,4,46,50,0.877
29,"Raheem Thomas, Fort Valley St. (SIAC)",Sr.,6-2,OPP,65,13,44,57,0.877
30,"Peter Selcho, UC San Diego (Big West)",So.,6-6,MB,96,7,77,84,0.875
31,"Jimmy Meinhart, Loyola Chicago (MIVA)",Sr.,6-8,MB,93,9,72,81,0.871
32,"Carson Williams, NJIT (EIVA)",Sr.,6-6,MB,92,11,69,80,0.870
33,"Rodney Wallace, Ball St. (MIVA)",Sr.,6-6,MB,83,8,64,72,0.867
34,"Toby Ezeonu, Penn St. (EIVA)",Sr.,6-7,MB,112,19,78,97,0.866
35,"Clarke Godbold, Long Beach St. (Big West)",Sr.,6-5,OPP,74,6,58,64,0.865
36,"Gavin Tate, Dominican (NY) (ECC)",Fr.,6-5,MB,66,17,40,57,0.864
37,"Skyler Varga, Long Beach St. (Big West)",Jr.,6-7,OH,95,2,80,82,0.863
38,"Erel Bardah, Lees-McRae (Conference Carolinas)",Fr.,6-7,MB,80,12,57,69,0.863
39,"Andrew Fedmasu, NJIT (EIVA)",So.,6-5,MB,101,12,75,87,0.861
40,"Max McCullough, CUI (MPSF)",Jr.,6-8,MB,85,9,64,73,0.859
41,"Ethan Rehmann, Belmont Abbey (Conference Carolinas)",Jr.,6-8,MB,84,17,55,72,0.857
42,"Haven Wankerl, D'Youville (NEC)",So.,6-4,MB,81,16,53,69,0.852
43,"Owen Rose, Penn St. (EIVA)",Jr.,6-7,MB,116,13,85,98,0.845
44,"Bryce Walker, Purdue Fort Wayne (MIVA)",Sr.,6-8,MB,95,9,71,80,0.842
45,"D'Aaron McCraney, McKendree (MIVA)",Jr.,6-8,MB,94,9,70,79,0.840
46,"Kellan Kennedy, King (TN) (Conference Carolinas)",Sr.,6-6,MB,80,11,56,67,0.838
47,"Cole Duncanson, Charleston (WV) (EIVA)",Jr.,6-9,MB,96,13,66,79,0.823
48,"De’Andrae Taylor, Benedict (SIAC)",Jr.,6-3,MB,76,34,28,62,0.816
49,"Jackson Lahey, Mount Olive (Conference Carolinas)",So.,6-2,S,92,11,63,74,0.804
50,"Teon Taylor, BYU (MPSF)",Jr.,6-6,OH,91,8,65,73,0.802
51,"Gavin Julien, BYU (MPSF)",Sr.,6-8,MB,94,8,67,75,0.798
52,"Trent Findley, Kentucky St. (SIAC)",So.,6-3,MB,68,13,41,54,0.794
53,"David Weiss, St. Thomas Aquinas (ECC)",Fr.,6-7,MB,67,9,44,53,0.791
54,"Shayo Asiru, Erskine (Conference Carolinas)",Jr.,6-3,MB,66,7,45,52,0.788
55,"Arturo Diaz-Dube, Emmanuel (GA) (Conference Carolinas)",Fr.,6-5,MB,89,11,59,70,0.787
56,"Joseph Morris, Belmont Abbey (Conference Carolinas)",Fr.,6-6,S,86,2,65,67,0.779
57,"Tread Rosenthal, Hawaii (Big West)",Fr.,6-8,S,101,5,73,78,0.772
58,"Noah Liousfi, Roberts Wesleyan (ECC)",So.,6-3,MH,79,15,46,61,0.772
59,"Nathaniel Gates, Stanford (MPSF)",Sr.,6-8,MB,98,9,66,75,0.765
60,"Kyle Hobus, CSUN (Big West)",Sr.,6-8,OH,110,13,70,83,0.755
61,"Ryan Vena, Princeton (EIVA)",So.,6-7,MB,62,3,43,46,0.742
62,"Tymek Brzoza, D'Youville (NEC)",Jr.,6-5,MB,81,17,43,60,0.741
63,"Gavin Leising, Princeton (EIVA)",Sr.,6-9,MB,71,8,44,52,0.732
64,"Max Roquet, Lewis (MIVA)",Jr.,6-8,OH,112,13,69,82,0.732
65,"Ethan Hill, Stanford (MPSF)",Sr.,6-7,MB,84,3,58,61,0.726
66,"Cole Ketrzynski, Pepperdine (MPSF)",Sr.,6-8,OPP,94,3,64,67,0.713
67,"Jacob Fischer, Maryville (MO) (DI Independent)",Sr.,6-6,MB,102,24,48,72,0.706
