Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Pts,Per Set
61,"Miks Ramanis, BYU (MPSF)",Jr.,6-4,OH,83,239,24,4,32,0,3.41
62,"Daniel Fabikovic, Loyola Chicago (MIVA)",Fr.,6-6,OH,95,273,18,7,48,0,3.39
63,"Andrew Deardorff, Saint Francis (NEC)",Jr.,6-5,OH,95,275,24,2,39,0,3.37
64,"Cooper Robinson, UCLA (MPSF)",Jr.,6-7,OH,95,250,35,5,59,0,3.36
65,"Jackson Hickman, Grand Canyon (MPSF)",Sr.,6-4,OH,110,317,21,4,55,0,3.36
66,"Griffin Wheatley, Lincoln Memorial (DI Independent)",Fr.,6-6,OH,65,189,19,0,19,0,3.35
67,"Griffin Monrad, Roberts Wesleyan (ECC)",Fr.,6-3,OPP,82,214,41,3,25,0,3.30
68,"Justin Gregory, Mount Olive (Conference Carolinas)",Sr.,6-6,OPP,84,222,21,9,49,0,3.29
69,"Aidan Feeney, Emmanuel (GA) (Conference Carolinas)",So.,6-5,OH,84,249,9,3,30,0,3.29
70,"Carlos Santa Cruz, Sacred Heart (NEC)",Sr.,6-5,S,108,310,26,6,25,0,3.28
71,"Logan Keothavy, North Greenville (Conference Carolinas)",Fr.,6-0,OH,85,249,11,6,25,0,3.28
72,"Jack Sandahl, Barton (Conference Carolinas)",Jr.,6-3,OH,65,177,8,8,36,0,3.25
73,"Gabriel Vieira, St. Thomas Aquinas (ECC)",Fr.,6-6,OH,78,217,11,3,43,0,3.24
74,"Kupono Browne, BYU (MPSF)",Sr.,6-5,OPP,90,229,38,1,46,0,3.23
75,"Jaxon Hicks, Fort Valley St. (SIAC)",Jr.,6-3,OPP,78,206,26,6,28,0,3.23
76,"Colby Landry, Tusculum (DI Independent)",Sr.,6-0,OH,102,299,18,9,6,0,3.23
77,"Ian De Wilde, D'Youville (NEC)",Jr.,6-1,OH,61,178,9,3,13,0,3.22
78,"Livan Moreno, LIU (NEC)",Sr.,6-3,OH,76,197,22,6,38,0,3.21
79,"Makai Scott, Maryville (MO) (DI Independent)",Fr.,6-0,OH,93,280,8,2,10,0,3.17
80,"Owen Fanning, Harvard (EIVA)",Jr.,6-7,OH,80,211,13,6,46,0,3.16
81,"Toby Ezeonu, Penn St. (EIVA)",Sr.,6-7,MB,112,259,36,19,78,0,3.15
82,"Matthew Gentry, Lincoln Memorial (DI Independent)",Sr.,6-7,MH,87,196,29,14,70,0,3.15
83,"Brandon Johnston, Barton (Conference Carolinas)",Sr.,6-3,OH,91,246,18,8,28,0,3.14
84,"Jake Read, Loyola Chicago (MIVA)",Fr.,6-4,OH,83,211,30,3,31,0,3.13
85,"Ethan Young, FDU (NEC)",Sr.,6-3,OH,81,222,15,4,24,0,3.12
86,"Akin Akinwumi, Pepperdine (MPSF)",Sr.,6-5,OH,81,216,13,3,32,0,3.06
87,"Chance Shampine, Queens (NC) (MIVA)",Fr.,6-2,OH,85,228,18,3,18,0,3.04
88,"Daniel Haber, Lewis (MIVA)",So.,6-6,OH,91,240,10,4,42,0,3.02
89,"Chey Cooper, Fort Valley St. (SIAC)",Sr.,6-1,OH,78,178,34,7,30,0,3.00
90,"Maxim Grigoriev, UC Irvine (Big West)",So.,6-4,MB,117,256,36,12,91,0,2.99
91,"Griffin Walters, CSUN (Big West)",Sr.,6-6,OH,99,240,37,7,20,0,2.97
92,"Tymek Brzoza, D'Youville (NEC)",Jr.,6-5,MB,81,196,5,17,43,0,2.96
93,"Gage Doble, CUI (MPSF)",So.,6-5,OH,72,175,17,7,23,0,2.92
94,"Ryan Barnett, Pepperdine (MPSF)",So.,6-5,OH,80,200,14,1,34,0,2.90
95,"Ben Coordt, UC Santa Barbara (Big West)",So.,6-4,OH,93,230,18,4,35,0,2.90
96,"Paul Fillion, Roberts Wesleyan (ECC)",Fr.,6-4,MH,82,192,19,9,34,0,2.89
96,"Christian Galoppo, CUI (MPSF)",Fr.,6-6,OPP,82,196,16,6,38,0,2.89
98,"Louis Sakanoko, Hawaii (Big West)",Fr.,6-5,OH,73,162,31,1,27,0,2.84
99,"Kory Grant, Mount Olive (Conference Carolinas)",So.,6-3,OPP,83,198,23,2,24,0,2.83
99,"Sebastian Lara, UC San Diego (Big West)",Jr.,6-4,OH,83,210,5,5,30,0,2.83
