Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
68,"Colby Landry, Tusculum (DI Independent)",So.,6-0,OH,7,1,0.143
68,"Tyler Poulsen, McKendree (MIVA)",Jr.,6-4,S,7,1,0.143
68,"Karter Rogers, Grand Canyon (MPSF)",So.,6-5,OH,14,2,0.143
68,"Charlie Siragusa, UC San Diego (Big West)",Sr.,6-9,OH,7,1,0.143
68,"Carter Stenmark, Lindenwood (MIVA)",So.,6-3,OH,7,1,0.143
68,"Zach Talamoa, George Mason (EIVA)",Jr.,5-11,S,7,1,0.143
78,"Zachary Hresko, NJIT (EIVA)",Sr.,6-2,,8,1,0.125
78,"Lucas Little, George Mason (EIVA)",Fr.,6-6,MB,8,1,0.125
78,"Tommy McGrath, McKendree (MIVA)",Sr.,6-7,MB,8,1,0.125
78,"Eamonn Testerman, George Mason (EIVA)",So.,6-8,MB,8,1,0.125
82,"Joshua Blair, Saint Francis (EIVA)",Sr.,6-5,,9,1,0.111
82,"Sage Gatling, LIU (DI Independent)",Fr.,6-5,MB,9,1,0.111
82,"Diego Negron, Lindenwood (MIVA)",Sr.,6-5,OH,9,1,0.111
85,"Edgerrin Austin, Erskine (Conference Carolinas)",So.,5-11,OH,10,1,0.100
85,"Sam Collins, UC Santa Barbara (Big West)",So.,6-2,OH,10,1,0.100
85,"Campbell Schoenfeld, Harvard (EIVA)",Sr.,6-8,OH,10,1,0.100
88,"Brandon Hicks, UC Santa Barbara (Big West)",Jr.,6-4,MB,12,1,0.083
89,"Liam Schroeder, Southern California (MPSF)",Sr.,6-8,MB,14,1,0.071
90,"Chris Hall, Southern California (MPSF)",Sr.,6-2,S,15,1,0.067
