Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
1,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,3,0.750
2,"Shaun Kampshoff, Tusculum (DI Independent)",Jr.,6-4,RS,7,5,0.714
2,"Garrett Zolg, Loyola Chicago (MIVA)",Sr.,6-3,,7,5,0.714
4,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,OH,10,7,0.700
5,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,,3,2,0.667
5,"Samuel Clark, Ohio St. (MIVA)",So.,6-6,MB,6,4,0.667
5,"Cal Fisher, Penn St. (EIVA)",Jr.,6-3,OPP,6,4,0.667
5,"Max Kuntz, Lees-McRae (Conference Carolinas)",Jr.,6-3,OH,3,2,0.667
5,"Michael Ladner, Quincy (MIVA)",So.,6-3,OH,9,6,0.667
5,"Bradley Peters, Lees-McRae (Conference Carolinas)",So.,6-2,S,3,2,0.667
5,"Ryan Serrano, McKendree (MIVA)",Jr.,6-3,,3,2,0.667
12,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Fr.,6-3,OH,11,7,0.636
13,"Kevin Kauling, Lewis (MIVA)",So.,6-8,S,10,6,0.600
13,"Jacob Whyte, Erskine (Conference Carolinas)",Fr.,6-4,OPP,10,6,0.600
15,"Luke Denton, Loyola Chicago (MIVA)",Jr.,6-6,,7,4,0.571
16,"Emanuel Adames, North Greenville (Conference Carolinas)",Fr.,6-6,MB,4,2,0.500
16,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,4,2,0.500
18,"Johansen Negron, Lincoln Memorial (DI Independent)",So.,6-2,,11,5,0.455
19,"Lucas Blanco, Tusculum (DI Independent)",So.,6-3,S,7,3,0.429
19,"Colby Landry, Tusculum (DI Independent)",Fr.,6-1,OH,7,3,0.429
21,"Tim Baldwin, Ohio St. (MIVA)",So.,6-6,OPP,5,2,0.400
21,"AJ Drooker, King (TN) (Conference Carolinas)",Fr.,6-3,S,5,2,0.400
21,"Joshua Kim, King (TN) (Conference Carolinas)",Sr.,6-6,RS,5,2,0.400
21,"Luke Lentin, Ohio St. (MIVA)",Jr.,6-3,S,5,2,0.400
21,"Aaron Milstead, King (TN) (Conference Carolinas)",Jr.,6-4,RS,5,2,0.400
21,"Tyler Mitchem, Lewis (MIVA)",Sr.,6-10,MB,10,4,0.400
27,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Fr.,6-6,,13,5,0.385
28,"Juan Alcoba, Erskine (Conference Carolinas)",Fr.,6-3,S,11,4,0.364
28,"Cole Vigo, Erskine (Conference Carolinas)",So.,6-6,MB,11,4,0.364
30,"Nic Cavallaro, Queens (NC) (DI Independent)",Sr.,6-3,OH,14,5,0.357
31,"Ace Backer, Lees-McRae (Conference Carolinas)",So.,6-6,MH,3,1,0.333
31,"Colton Brooks, Loyola Chicago (MIVA)",So.,6-4,,6,2,0.333
31,"Quinn Isaacson, Ball St. (MIVA)",Sr.,6-2,S,9,3,0.333
31,"Kaleb Jenness, Ball St. (MIVA)",Jr.,6-6,OH,9,3,0.333
31,"Loic Nanchen, Alderson Broaddus (DI Independent)",Fr.,6-3,OH,3,1,0.333
31,"Blake Reardon, Ball St. (MIVA)",Sr.,6-4,OH,9,3,0.333
31,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,,3,1,0.333
38,"Joshua Blair, Saint Francis (EIVA)",Jr.,6-5,,16,5,0.313
39,"Zach Reider, Quincy (MIVA)",Sr.,6-7,MB,7,2,0.286
40,"Sergio Carrillo, North Greenville (Conference Carolinas)",Jr.,6-5,S,4,1,0.250
40,"Tom Curry, North Greenville (Conference Carolinas)",Fr.,6-2,OH,4,1,0.250
40,"Alexander Finch, Saint Francis (EIVA)",So.,6-3,,16,4,0.250
40,"Riley Mulkey, Belmont Abbey (Conference Carolinas)",Jr.,6-5,MB,4,1,0.250
40,"Spencer Saint-Eloi, Limestone (DI Independent)",Sr.,6-1,OPP,8,2,0.250
45,"AJ Risavy, Lincoln Memorial (DI Independent)",Jr.,6-7,,9,2,0.222
46,"Zac Cabral, Saint Francis (EIVA)",So.,6-10,,14,3,0.214
47,"Diego Marcano, King (TN) (Conference Carolinas)",So.,6-2,RS,5,1,0.200
47,"Thomas Poole, Ohio St. (MIVA)",Fr.,5-9,L,5,1,0.200
47,"Jacob Titus, Lincoln Memorial (DI Independent)",So.,6-4,,10,2,0.200
50,"Jon Fuller, Erskine (Conference Carolinas)",Fr.,6-3,MB,11,2,0.182
51,"Jack Driscoll, Penn St. (EIVA)",Jr.,6-4,S,6,1,0.167
51,"Jacob Pasteur, Ohio St. (MIVA)",Fr.,6-4,OH,6,1,0.167
51,"Brett Wildman, Penn St. (EIVA)",Jr.,6-5,OH,6,1,0.167
54,"Pedro Carvalho, Lincoln Memorial (DI Independent)",Sr.,6-7,,13,2,0.154
55,"Jack Brinkman, Queens (NC) (DI Independent)",So.,6-2,OH,14,2,0.143
55,"Andrew Lyons, Loyola Chicago (MIVA)",So.,6-7,,7,1,0.143
57,"Christos Gkitersos, Limestone (DI Independent)",So.,6-4,S,8,1,0.125
57,"Jon Igo, Limestone (DI Independent)",Jr.,6-7,MB,8,1,0.125
59,"Cooper Coleman, Quincy (MIVA)",Jr.,6-11,MH,9,1,0.111
59,"Brad Creamer, George Mason (EIVA)",Sr.,6-9,,9,1,0.111
59,"Will Hippe, Ball St. (MIVA)",Sr.,6-8,MH,9,1,0.111
59,"Richie Hoff, George Mason (EIVA)",Jr.,6-4,,9,1,0.111
59,"Yoran Raymaekers, Quincy (MIVA)",Sr.,6-4,S,9,1,0.111
64,"Guillermo Jordan, Queens (NC) (DI Independent)",So.,5-10,L/DS,20,2,0.100
64,"Jason Sall, Erskine (Conference Carolinas)",Fr.,6-3,OH,10,1,0.100
66,"Dawson Walker, Lincoln Memorial (DI Independent)",So.,6-6,,12,1,0.083
67,"JP Payne, Queens (NC) (DI Independent)",Sr.,6-4,MH,20,1,0.050
