Rank,Team,S,W-L,Aces,Per Set
1,Saint Francis (PA) (NEC),113,21-9,237,2.10
2,Hawaii (Big West),106,23-7,215,2.03
3,Fort Valley St. (SIAC),81,17-9,157,1.94
4,UCLA (MPSF),118,26-5,224,1.90
5,Princeton (EIVA),92,12-12,167,1.82
6,Dominican (NY) (ECC),86,12-13,153,1.78
7,CSUN (Big West),111,13-16,189,1.70
8,Lincoln Memorial (DI Independent),93,21-5,154,1.66
9,Long Beach St. (Big West),107,27-3,177,1.65
10,Penn St. (EIVA),116,23-7,191,1.65
11,Lindenwood (MIVA),102,16-12,166,1.63
12,George Mason (EIVA),107,18-10,173,1.62
13,Ohio St. (MIVA),121,22-9,194,1.60
14,Daemen (NEC),90,20-6,143,1.59
15,Roberts Wesleyan (ECC),84,8-16,133,1.58
16,Stanford (MPSF),99,14-12,154,1.56
17,LIU (NEC),96,14-13,149,1.55
18,Mount Olive (Conference Carolinas),96,17-10,148,1.54
19,Loyola Chicago (MIVA),106,19-10,161,1.52
20,North Greenville (Conference Carolinas),94,15-9,135,1.44
21,Charleston (WV) (EIVA),110,13-16,157,1.43
22,UC Irvine (Big West),117,20-11,164,1.40
23,BYU (MPSF),98,16-9,137,1.40
24,NJIT (EIVA),102,11-15,141,1.38
25,UC Santa Barbara (Big West),110,9-18,152,1.38
26,Merrimack (NEC),88,9-16,121,1.38
27,Grand Canyon (MPSF),110,26-5,150,1.36
28,Kentucky St. (SIAC),74,6-17,100,1.35
29,Maryville (MO) (DI Independent),105,21-8,140,1.33
30,Belmont Abbey (Conference Carolinas),97,21-5,127,1.31
31,St. Thomas Aquinas (ECC),78,10-12,102,1.31
32,Queens (NC) (MIVA),108,9-21,141,1.31
33,Missouri S&T (DI Independent),75,10-12,97,1.29
34,McKendree (MIVA),94,14-12,121,1.29
35,Erskine (Conference Carolinas),85,13-11,109,1.28
36,UC San Diego (Big West),97,12-15,124,1.28
37,Pepperdine (MPSF),103,17-11,131,1.27
38,Ball St. (MIVA),113,21-10,142,1.26
39,Lewis (MIVA),117,15-15,147,1.26
40,Quincy (MIVA),83,5-19,100,1.20
41,Purdue Fort Wayne (MIVA),99,14-12,119,1.20
42,Sacred Heart (NEC),118,12-20,140,1.19
43,CUI (MPSF),89,6-19,105,1.18
44,FDU (NEC),99,12-15,111,1.12
45,Southern California (MPSF),109,13-15,120,1.10
46,King (TN) (Conference Carolinas),92,7-21,99,1.08
47,Harvard (EIVA),96,12-13,101,1.05
48,D'Youville (NEC),82,10-13,84,1.02
49,Barton (Conference Carolinas),92,12-13,94,1.02
50,Emmanuel (GA) (Conference Carolinas),101,9-19,93,0.92
