Rank,Team,S,W-L,Kills,Errors,Total Attacks,Per Set
1,Kentucky St. (SIAC),20,0-7,161,153,606,30.30
2,Erskine (Conference Carolinas),78,8-15,915,426,"2,359",30.24
3,North Greenville (Conference Carolinas),79,10-11,980,461,"2,370",30.00
4,Catawba (DI Independent),77,12-10,942,407,"2,269",29.47
5,McKendree (MIVA),97,17-7,"1,227",404,"2,858",29.46
6,King (TN) (Conference Carolinas),85,3-21,805,458,"2,460",28.94
7,Barton (Conference Carolinas),89,15-11,962,428,"2,557",28.73
8,Emmanuel (GA) (Conference Carolinas),89,4-22,879,511,"2,556",28.72
9,Roberts Wesleyan (ECC),97,9-17,"1,048",542,"2,777",28.63
10,Belmont Abbey (Conference Carolinas),75,14-8,916,376,"2,142",28.56
11,Charleston (WV) (EIVA),91,11-14,"1,159",483,"2,598",28.55
12,Missouri S&T (DI Independent),78,10-13,891,350,"2,202",28.23
13,LIU (NEC),85,17-5,"1,064",400,"2,392",28.14
14,Quincy (MIVA),99,8-17,"1,133",471,"2,775",28.03
15,Edward Waters (SIAC),77,9-12,842,424,"2,143",27.83
16,Lees-McRae (Conference Carolinas),88,3-22,871,561,"2,445",27.78
17,Roosevelt  (DI Independent),75,5-16,818,410,"2,079",27.72
18,Maryville (MO) (DI Independent),84,16-8,"1,022",404,"2,326",27.69
19,Thomas More (DI Independent),63,7-11,671,350,"1,744",27.68
20,Mount Olive (Conference Carolinas),69,18-3,897,275,"1,910",27.68
21,Central St. (OH) (SIAC),76,6-16,816,446,"2,098",27.61
22,Queens (NC) (MIVA),101,10-17,"1,140",442,"2,773",27.46
23,Saint Francis (NEC),79,10-12,970,377,"2,168",27.44
24,UC Santa Barbara (Big West),84,11-12,"1,045",428,"2,295",27.32
25,Southern California (MPSF),79,19-3,"1,069",285,"2,151",27.23
26,Merrimack (DI Independent),67,13-6,805,303,"1,824",27.22
27,Menlo (MPSF),74,9-12,843,321,"2,003",27.07
28,D'Youville (NEC),69,6-13,697,362,"1,865",27.03
29,Vanguard  (MPSF),85,8-15,933,378,"2,295",27.00
30,Rockhurst (DI Independent),100,18-10,"1,247",454,"2,693",26.93
31,FDU (NEC),72,8-11,780,420,"1,935",26.88
32,Ohio St. (MIVA),92,14-10,"1,145",434,"2,471",26.86
33,St. Thomas Aquinas (ECC),75,13-9,837,359,"2,009",26.79
34,CUI (MPSF),93,9-16,"1,045",422,"2,487",26.74
35,Barry (DI Independent),85,10-13,852,481,"2,270",26.71
36,Stanford (MPSF),76,9-12,902,353,"2,027",26.67
37,Loyola Chicago (MIVA),85,21-2,"1,115",289,"2,260",26.59
38,George Mason (EIVA),82,13-10,929,378,"2,174",26.51
39,Lewis (MIVA),111,20-8,"1,375",407,"2,937",26.46
40,Ball St. (MIVA),110,17-11,"1,373",437,"2,908",26.44
41,Harvard (EIVA),68,9-10,725,325,"1,797",26.43
42,NJIT (EIVA),80,10-12,934,411,"2,108",26.35
43,Lindenwood (MIVA),83,8-14,"1,046",406,"2,185",26.33
44,Hawaii (Big West),90,22-3,"1,216",376,"2,368",26.31
45,American Int'l (ECC),75,4-18,720,442,"1,969",26.25
46,UC Irvine (Big West),74,16-6,924,272,"1,937",26.18
47,Purdue Fort Wayne (MIVA),88,11-12,"1,035",437,"2,298",26.11
48,Daemen (NEC),75,11-10,862,352,"1,958",26.11
49,Lincoln Memorial (DI Independent),70,19-1,852,275,"1,826",26.09
50,Tusculum (DI Independent),91,14-11,"1,020",431,"2,367",26.01
