Rank,Team,S,W-L,Assists,Per Set
1,Ohio St. (MIVA),3,1-0,42,14.00
2,BYU (MPSF),8,2-0,101,12.63
3,Stanford (MPSF),6,2-0,74,12.33
4,Lewis (MIVA),7,1-1,82,11.71
5,Pepperdine (MPSF),3,1-0,33,11.00
6,North Greenville (Conference Carolinas),7,1-1,75,10.71
7,UC Irvine (Big West),3,1-0,32,10.67
8,Hawaii (Big West),6,2-0,61,10.17
9,Princeton (EIVA),8,0-2,78,9.75
10,George Mason (EIVA),3,0-1,29,9.67
11,Southern California (MPSF),5,1-0,48,9.60
12,Loyola Chicago (MVC),8,1-1,76,9.50
13,UCLA (MPSF),6,2-0,55,9.17
14,Urbana (DI Independent),4,0-1,36,9.00
15,Charleston (WV) (EIVA),6,0-2,53,8.83
16,King (TN) (Conference Carolinas),7,0-2,57,8.14
17,Daemen (DI Independent),3,0-1,16,5.33
