Rank,Team,Kills,W-L,Errors,Total Attacks,Pct.
1,Pepperdine (MPSF),35,1-0,9,68,0.382
2,Hawaii (Big West),69,2-0,22,124,0.379
3,Stanford (MPSF),75,2-0,23,147,0.354
4,BYU (MPSF),111,2-0,39,218,0.330
5,UCLA (MPSF),65,2-0,21,134,0.328
6,Ohio St. (MIVA),46,1-0,17,89,0.326
7,Lewis (MIVA),87,1-1,30,175,0.326
8,North Greenville (Conference Carolinas),79,1-1,26,165,0.321
9,UC Irvine (Big West),34,1-0,10,76,0.316
10,Loyola Chicago (MVC),82,1-1,30,190,0.274
11,Southern California (MPSF),51,1-0,21,131,0.229
12,Charleston (WV) (EIVA),56,0-2,28,136,0.206
13,Urbana (DI Independent),38,0-1,19,96,0.198
14,Princeton (EIVA),81,0-2,42,200,0.195
15,George Mason (EIVA),29,0-1,15,79,0.177
16,King (TN) (Conference Carolinas),57,0-2,35,161,0.137
17,Daemen (DI Independent),18,0-1,23,62,-0.081
