,Team 1,Team 1 Score,Team 2,Team 2 Score
499,Penn St.,3,CSUN,1
500,Saint Francis (PA),3,Fort Valley St.,1
501,McKendree,3,Missouri S&T,0
502,Penn St.,1,Southern California,3
503,St. Katherine,0,UC San Diego,3
504,Lindenwood,3,Erskine,1
505,Emmanuel (GA),0,Fort Valley St.,3
506,Pepperdine,3,Belmont Abbey,0
507,Mt. Vernon Naz.,3,North Greenville,1
508,UC Irvine,3,Grand Canyon,2
509,Lewis,0,Hawaii,3
510,Campbellsville,3,Lees-McRae,1
511,Benedict,2,Central St. (OH),3
512,Erskine,0,McKendree,3
513,Tusculum,0,Daemen,3
514,Morehouse,0,Fort Valley St.,3
515,Edward Waters,3,Kentucky St.,1
516,Benedict,3,Central St. (OH),1
517,Barton,0,LIU,3
518,NJIT,1,George Mason,3
519,Pepperdine,3,North Greenville,1
520,Emmanuel (GA),3,Talladega,0
521,Penn St.,2,UCLA,3
522,Harvard,3,Merrimack,0
523,Quincy,2,Maryville (MO),3
524,UC Santa Barbara,1,Long Beach St.,3
525,Ohio St.,3,Southern California,1
526,BYU,3,Stanford,2
527,St. Xavier,3,CUI,1
528,Lewis,3,UC Irvine,2
529,Grand Canyon,0,Hawaii,3
530,Dominican (NY),0,Roberts Wesleyan,3
531,St. Thomas Aquinas,3,American Int'l,0
532,Benedict,2,Kentucky St.,3
533,Lees-McRae,0,Life (GA),3
534,Quincy,1,Missouri S&T,3
535,Mount Olive,3,Lincoln Memorial,1
536,Edward Waters,3,Central St. (OH),0
537,FDU,1,George Mason,3
538,Maryville (MO),1,McKendree,3
539,Tusculum,1,D'Youville,3
540,Barton,0,LIU,3
541,Lees-McRae,0,St. Andrews,3
542,BYU,0,Stanford,3
543,Long Beach St.,3,UC Santa Barbara,2
544,Mount Olive,2,Lincoln Memorial,3
545,Grand Canyon,3,Lewis,2
546,Ohio St.,0,UCLA,3
547,UC Irvine,2,Hawaii,3
548,Clarke,0,Maryville (MO),3
549,Princeton,1,Loyola Chicago,3
550,Edward Waters,0,Thomas More,3
551,Tusculum,0,Saint Francis (PA),3
552,D'Youville,3,Roberts Wesleyan,0
553,Harvard,1,UC San Diego,3
554,Barton,2,Queens (NC),3
555,Thomas More,3,Central St. (OH),1
556,Harvard,3,CUI,2
557,UC Santa Barbara,0,UC Irvine,3
558,Ball St.,3,Ohio St.,1
559,Kentucky St.,1,Roberts Wesleyan,3
560,Quincy,1,Loyola Chicago,3
561,McKendree,3,Lewis,2
562,Southern California,1,Pepperdine,3
563,CSUN,1,UC San Diego,3
564,North Greenville,3,Charleston (WV),1
565,Princeton,3,FDU,2
566,Reinhardt,3,Edward Waters,2
567,Lincoln Memorial,3,Thomas More,1
568,Tusculum,1,Belmont Abbey,3
569,Warner,0,King (TN),3
570,Merrimack,0,Sacred Heart,3
571,Lindenwood,0,Purdue Fort Wayne,3
572,Mount Olive,0,George Mason,3
573,Kentucky St.,0,Dominican (NY),3
574,St. Thomas Aquinas,0,LIU,3
575,UC San Diego,3,CSUN,2
576,NJIT,1,Grand Canyon,3
577,UC Irvine,3,UC Santa Barbara,0
578,Hawaii,0,Long Beach St.,3
579,Sacred Heart,1,Merrimack,3
580,Lindenwood,0,Ball St.,3
581,Lincoln Memorial,3,D'Youville,0
582,Fort Valley St.,2,Tusculum,3
583,Fort Valley St.,0,Queens (NC),3
584,Kentucky St.,0,St. Thomas Aquinas,3
585,D'Youville,3,Central St. (OH),0
