,Team 1,Team 1 Score,Team 2,Team 2 Score
182,Randolph-Macon,0,Mount Olive,3
183,Geneva,1,Roberts Wesleyan,3
184,Missouri S&T,3,Ottawa (KS),0
185,Queens (NC),2,NJIT,3
186,Barton,3,Va. Wesleyan,0
187,Charleston (WV),2,Lincoln Memorial,3
188,King (TN),0,Lindenwood,3
189,Missouri S&T,1,Park (MO),3
190,Redeemer Ancas. (CAN),1,Roberts Wesleyan,3
191,George Mason,1,Loyola Chicago,3
192,McKendree,3,Maryville (MO),1
193,LIU,3,Lewis,1
194,Central St. (OH),0,CSUN,3
195,UC Irvine,3,BYU,2
196,CUI,0,Long Beach St.,3
197,D'Youville,3,St. Thomas Aquinas,2
198,Queens (NC),0,Saint Francis (PA),3
199,Charleston (WV),3,Tusculum,0
200,Ohio St.,2,Penn St.,3
201,Hawaii,3,Ball St.,1
202,Emmanuel (GA),3,Edward Waters,1
203,Yeshiva,0,Dominican (NY),3
204,Missouri S&T,0,Quincy,3
205,Concordia Chicago,0,Roosevelt,3
206,Benedict,0,Belmont Abbey,3
207,St. Thomas Aquinas,1,Sacred Heart,3
208,UC Santa Barbara,1,Princeton,3
209,Grand Canyon,3,Merrimack,1
210,Dominican (NY),0,LIU,3
211,Lewis,3,Lindenwood,1
212,UCLA,3,UC Irvine,2
213,Southern California,2,UC San Diego,3
214,Loyola Chicago,1,Ball St.,3
215,Kentucky St.,3,Benedict,2
216,Daemen,3,UC Santa Barbara,2
217,Pepperdine,0,Princeton,3
218,LIU,2,NJIT,3
219,Edward Waters,3,Talladega,0
220,Lincoln Memorial,3,Erskine,1
221,FDU,3,Dominican (NY),1
222,Penn St.,3,Ball St.,0
223,Thomas More,0,Charleston (WV),3
224,Saint Francis (PA),2,Purdue Fort Wayne,3
225,Grand Canyon,3,Harvard,0
226,American Int'l,0,Sacred Heart,3
227,St. Xavier,2,Missouri S&T,3
228,Olivet Nazarene,0,Maryville (MO),3
229,Lewis,3,McKendree,1
230,Queens (NC),3,Quincy,2
231,UC Irvine,1,UCLA,3
232,King (TN),0,Long Beach St.,3
233,UC San Diego,0,Southern California,3
234,CSUN,1,Stanford,3
235,Tusculum,0,Hawaii,3
236,Russell Sage,0,St. Thomas Aquinas,3
237,Benedict,0,Truett-McConnell,3
238,Lincoln Memorial,3,Emmanuel (GA),1
239,Roberts Wesleyan,3,Houghton,0
240,Central St. (OH),0,Charleston (WV),3
241,Daemen,0,Grand Canyon,3
242,Pepperdine,3,FDU,0
243,Missouri S&T,0,McKendree,3
244,Penn St.,2,Purdue Fort Wayne,3
245,Kentucky St.,3,Warren Wilson,2
246,CSUN,3,Stanford,1
247,Queens (NC),2,Quincy,3
248,UC Santa Barbara,3,Harvard,0
249,Merrimack,3,Dominican (NY),0
250,King (TN),0,Long Beach St.,3
251,Merrimack,0,NJIT,3
252,Daemen,3,American Int'l,0
253,Lindenwood,1,Ohio St.,3
254,Life (GA),0,Fort Valley St.,3
255,Tusculum,0,Hawaii,3
256,Fort Valley St.,3,Talladega,0
257,Dominican (NY),0,Sacred Heart,3
258,Loyola Chicago,3,Purdue Fort Wayne,0
259,Emmanuel (GA),1,Erskine,3
260,Belmont Abbey,1,North Greenville,3
261,Maryville (MO),1,Mo. Baptist,3
262,American Int'l,1,Rivier,3
263,Lindenwood,3,Missouri S&T,0
264,Ohio St.,3,Lewis,0
265,UC Merced,1,CSUN,3
266,Southern California,1,UC Irvine,3
267,Stanford,1,Hawaii,3
268,D'Youville,0,Daemen,3
269,NJIT,0,Sacred Heart,3
270,McKendree,3,Quincy,0
271,Pepperdine,3,UC Santa Barbara,2
272,LIU,0,BYU,3
273,UC San Diego,0,CUI,3
274,UMSV,,Dominican (NY),
275,Barton,3,Lees-McRae,0
276,Emmanuel (GA),0,Tusculum,3
277,St. Thomas Aquinas,0,Daemen,3
278,Purdue Fort Wayne,3,Queens (NC),1
279,Mount Olive,3,King (TN),1
280,Merrimack,0,Harvard,3
281,Lincoln Memorial,3,Princeton,1
282,Saint Francis (PA),3,Charleston (WV),0
283,Ball St.,0,McKendree,3
284,Talladega,0,Missouri S&T,3
285,Central St. (OH),0,Maryville (MO),3
286,Ohio St.,2,Loyola Chicago,3
287,Master's,3,CSUN,0
288,UCLA,1,Long Beach St.,3
289,Stanford,0,Hawaii,3
290,Mount Olive,3,Lees-McRae,0
291,St. Thomas Aquinas,0,D'Youville,3
292,Emmanuel (GA),0,Belmont Abbey,3
293,Barton,0,King (TN),3
294,Benedict,1,CarolinaU,3
295,North Greenville,3,Erskine,2
296,Purdue Fort Wayne,2,Queens (NC),3
297,Central St. (OH),0,Missouri S&T,3
298,Sacred Heart,3,Princeton,2
299,FDU,1,Penn St.,3
300,Roberts Wesleyan,1,Thomas More,3
301,Lincoln Memorial,2,Harvard,3
302,Roberts Wesleyan,0,Thomas More,3
303,Talladega,0,Maryville (MO),3
304,Saint Francis (PA),3,Charleston (WV),1
305,UC Santa Barbara,0,Pepperdine,3
306,Ball St.,3,Lindenwood,2
307,Long Beach St.,1,UCLA,3
308,LIU,0,BYU,3
309,Talladega,0,Maryville (MO),3
310,UC Irvine,1,Southern California,3
311,Master's,1,CUI,3
312,Fort Valley St.,0,Emmanuel (GA),3
313,Benedict,0,St. Andrews,3
314,Thomas More,3,Kentucky St.,2
315,Missouri S&T,1,Maryville (MO),3
316,King (TN),0,Lincoln Memorial,3
317,St. John Fisher,3,Roberts Wesleyan,1
318,Loyola Chicago,3,Lewis,0
319,Hope Int'l,0,CSUN,3
320,Pepperdine,0,UCLA,3
321,Southern California,3,CUI,0
322,Central St. (OH),0,UC San Diego,3
323,Purdue Fort Wayne,0,Ball St.,3
324,Bard,0,Dominican (NY),3
325,Queens (NC),1,McKendree,3
326,UC Santa Barbara,3,Cal Lutheran,1
327,Talladega,0,Fort Valley St.,3
328,Roberts Wesleyan,0,St. Thomas Aquinas,3
329,George Mason,3,NJIT,1
330,Cumberland (TN),0,Maryville (MO),3
331,Tusculum,3,Thomas More,2
332,Saint Francis (PA),3,LIU,2
333,Mount Olive,1,North Greenville,3
334,Lees-McRae,0,Erskine,3
335,D'Youville,0,Merrimack,3
